RC,HID,STOP_DATE,STEEL_GRADE,TAPPED_WGT,TOTAL_CHARGE,DRI_CHARGE,SCRAP_CHARGE,POWER_ON_TIME,FINAL_TEMP,TOTAL_C_DRI,LOCAL_SCRAP,HOME_RETURN_SCRAP,IMPORTED_SCRAP,PIG_IRON,DRI_BRIQUETTED,FESI,FEMN,SIMN,FECR,NICKEL,FETI,FEB,FENB,FEP,FEMO,CU,FEV,NITROVAN,ELEC_ENERGY,OXYGEN,COKE_LUMP,MODULE_CARBON,COKE_POWDER,BURNT_LIME,BURNT_DOLAMITE,FLUX,C_ANALYSIS, 
268763,533449,02-JAN-2023 02.49.44,1011,162.3,200.5,164.5,36,43.6,1648,,22,14,,,,0,250,0,0,0,0,0,0,0,0,0,0,0,93500,6477,486,3236,0,0,8000,0,, 
268766,533450,02-JAN-2023 03.42.44,1010,164,190.6,154.6,36,39.3,1640,,22,14,,,,0,250,0,0,0,0,0,0,0,0,0,0,0,85100,6604,471,3121,0,0,7000,0,, 
268769,533451,02-JAN-2023 04.35.24,1010,162.5,189.2,153.2,36,40.1,1642,,22,14,,,,0,249,0,0,0,0,0,0,0,0,0,0,0,85600,6312,238,3273,0,0,6000,0,, 
268772,533452,02-JAN-2023 05.29.07,1010,160.1,188.9,152.9,36,39.5,1661,,22,14,,,,0,250,0,0,0,0,0,0,0,0,0,0,0,85500,6774,712,3212,0,0,6000,0,, 
268775,533453,02-JAN-2023 06.28.33,5091,161.2,186.7,150.7,36,41,1660,,22,14,,,,0,997,0,0,0,0,0,0,0,0,0,0,0,85600,6627,126,3708,0,0,6000,0,, 
268778,533454,02-JAN-2023 08.04.28,5091,159.6,197,161,36,49.2,1613,,22,14,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,94500,7139,236,3926,0,0,7000,0,, 
268782,533455,02-JAN-2023 09.11.22,5091,159.9,182.5,146.5,36,42.6,1649,,22,14,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,89600,6288,127,2966,0,0,5900,0,, 
268785,533456,02-JAN-2023 10.01.27,5091,160,187.5,151.5,36,39.9,1647,,22,14,,,,0,998,0,0,0,0,0,0,0,0,0,0,0,88400,6097,0,3291,0,0,6000,0,, 
268787,533457,02-JAN-2023 11.19.22,5091,159.6,187.69,150.6,37.09,39.8,1649,,22.67,14.42,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,88200,5938,0,3756,0,0,7000,0,, 
268791,533458,02-JAN-2023 12.09.00,5091,158.4,191.79,153.6,38.19,40.6,,,23.34,14.85,,,,0,998,0,0,0,0,0,0,0,0,0,0,0,89600,6186,0,3363,0,0,6000,0,, 
268794,533459,02-JAN-2023 12.57.09,5091,157.5,182.09,142.6,39.49,38.4,1654,,24.13,15.36,,,,0,998,0,0,0,0,0,0,0,0,0,0,0,83600,5728,0,2493,0,0,5000,0,, 
268796,533460,02-JAN-2023 13.59.22,5091,153.3,185.2,147.4,37.8,44.5,1682,,23.1,14.7,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,91700,6049,0,3499,0,998,6000,0,, 
268800,533461,02-JAN-2023 14.49.29,1011,160.1,186.3,150.3,36,39.2,1658,,22,14,,,,0,300,0,0,0,0,0,0,0,0,0,0,0,88500,5657,0,2408,0,2498,8000,0,, 
268803,533462,02-JAN-2023 15.53.09,1011,158.3,189.2,153.2,36,44.1,1669,,22,14,,,,0,300,0,0,0,0,0,0,0,0,0,0,0,95600,5452,938,2306,0,0,7000,0,, 
